year,total,country,players,percentage,latitude,longitude
2014,736,Turkey,26,3.53,38.963745,35.243322
2014,736,Ukraine,9,1.22,48.379433,31.16558
2014,736,United Arab Emirates,2,0.27,23.424076,53.847818
2014,736,United States,21,2.85,37.09024,-95.712891
2014,736,Uruguay,1,0.14,-32.522779,-55.765835
2018,736,Argentina,9,1.22,-38.416097,-63.616672
2018,736,Australia,3,0.41,-25.274398,133.775136
2018,736,Austria,2,0.27,47.516231,14.550072
2018,736,Belgium,17,2.31,50.503887,4.469936
2018,736,Brazil,9,1.22,-14.235004,-51.92528
2018,736,Bulgaria,2,0.27,42.733883,25.48583
2018,736,Chile,2,0.27,-35.675147,-71.542969
2018,736,China,8,1.09,35.86166,104.195397
2018,736,Colombia,6,0.82,4.570868,-74.297333
2018,736,Costa Rica,8,1.09,9.748917,-83.753428
2018,736,Croatia,3,0.41,45.1,15.2
2018,736,Denmark,8,1.09,56.26392,9.501785
2018,736,Egypt,10,1.36,26.820553,30.802498
2018,736,England,129,17.53,52.561667,-1.464722
2018,736,Finland,1,0.14,61.92411,25.748151
2018,736,France,49,6.66,46.227638,2.213749
2018,736,Germany,67,9.1,51.165691,10.451526
2018,736,Greece,5,0.68,39.074208,21.824312
2018,736,Guatemala,2,0.27,15.783471,-90.230759
2018,736,Guinea,1,0.14,9.945587,-9.696645
2018,736,Honduras,1,0.14,15.199999,-86.241905
2018,736,Iceland,1,0.14,64.963051,-19.020835
2018,736,Iran,9,1.22,32.427908,53.688046
2018,736,Israel,2,0.27,31.046051,34.851612
2018,736,Italy,58,7.88,41.87194,12.56738
2018,736,Japan,15,2.04,36.204824,138.252924
2018,736,Mexico,23,3.13,23.634501,-102.552784
2018,736,Morocco,2,0.27,31.791702,-7.09262
2018,736,Netherlands,15,2.04,52.132633,5.291266
2018,736,Nigeria,1,0.14,9.081999,8.675277
2018,736,Norway,1,0.14,60.472024,8.468946
2018,736,Panama,3,0.41,8.537981,-80.782127
2018,736,Paraguay,1,0.14,-23.442503,-58.443832
2018,736,Peru,6,0.82,-9.189967,-75.015152
2018,736,Poland,4,0.54,51.919438,19.145136
2018,736,Portugal,18,2.45,39.399872,-8.224454
2018,736,Qatar,2,0.27,25.354826,51.183884
2018,736,Romania,1,0.14,45.943161,24.96676
2018,736,Russia,36,4.89,61.52401,105.318756
2018,736,Saudi Arabia,30,4.08,23.885942,45.079162
2018,736,Scotland,7,0.95,56.816722,-4.183889
2018,736,Serbia,3,0.41,44.016521,21.005859
2018,736,Slovakia,1,0.14,48.669026,19.699024
2018,736,South Africa,1,0.14,-30.559482,22.937506
2018,736,South Korea,13,1.77,35.907757,127.766922
2018,736,Spain,81,11.01,40.463667,-3.74922
2018,736,Sweden,3,0.41,60.128161,15.643501
2018,736,Switzerland,4,0.54,46.818188,8.227512
2018,736,Tunisia,6,0.82,33.886917,9.537499
2018,736,Turkey,22,2.99,38.963745,35.243322
2018,736,Ukraine,3,0.41,48.379433,31.16558
2018,736,United Arab Emirates,2,0.27,23.424076,53.847818
2018,736,United States,18,2.45,37.09024,-95.712891
2018,736,Uruguay,2,0.27,-32.522779,-55.765835
